index,subject,question_id,user_id,school_id,stime,ctime,video_id,brainwave_file_path_attention,brainwave_file_path_EEG,brainwave_file_path_events
1,phy,9eec9906-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:00:00,15-Dec-2018 13:01:21,,,,
2,phy,9ee65eb1-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:01:22,15-Dec-2018 13:02:28,,,,
3,phy,cefa74fd-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:02:29,15-Dec-2018 13:02:48,,,,
4,phy,ceffbe03-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:02:48,15-Dec-2018 13:03:32,,,,
5,phy,ef00218c-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:03:32,15-Dec-2018 13:03:52,,,,
6,phy,ef8f26af-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:03:53,15-Dec-2018 13:04:56,,,,
7,phy,efcb688b-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:04:56,15-Dec-2018 13:05:20,,,,
8,phy,cd8f2a79-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:05:21,15-Dec-2018 13:05:47,,,,
9,phy,a6a77641-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 13:05:48,15-Dec-2018 13:06:52,,,,
10,phy,4c0da586-af0a-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 13:06:52,15-Dec-2018 13:07:46,,,,
11,phy,4c049a82-af0a-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 13:07:47,15-Dec-2018 13:12:56,,,,
12,phy,c962ba9f-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:12:56,15-Dec-2018 13:13:22,,,,
13,phy,c9b9ec41-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:13:23,15-Dec-2018 13:13:31,,,,
14,phy,ae1b1c9f-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 13:13:31,15-Dec-2018 13:13:55,,,,
15,phy,9d6ce839-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:13:55,15-Dec-2018 13:14:12,,,,
16,phy,9db23dcb-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:14:12,15-Dec-2018 13:14:45,,,,
17,phy,1fbcbfbc-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 13:21:31,15-Dec-2018 13:21:45,,,,
18,phy,1fc3d465-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 13:21:53,15-Dec-2018 13:22:10,,,,
19,phy,ef659c5b-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:22:12,15-Dec-2018 13:23:52,,,,
20,phy,efd775d0-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:23:55,15-Dec-2018 13:24:41,,,,
21,phy,efb8dd18-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:25:47,15-Dec-2018 13:28:25,,,,
22,phy,ef82307f-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:29:29,15-Dec-2018 13:29:53,,,,
23,phy,e24bee24-a124-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 13:30:57,15-Dec-2018 13:31:30,,,,
24,phy,ef52db95-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 13:31:36,15-Dec-2018 13:31:48,,,,
25,phy,ed286642-af42-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 15:20:10,15-Dec-2018 15:20:55,,,,
26,phy,ed333cce-af42-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 15:20:58,15-Dec-2018 15:21:30,,,,
27,phy,a6614dc7-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 15:21:31,15-Dec-2018 15:22:03,,,,
28,phy,a6ae0da6-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 15:22:05,15-Dec-2018 15:24:25,,,,
29,phy,a63fea72-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 15:24:38,15-Dec-2018 15:25:00,,,,
30,phy,a70979f7-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 15:25:01,15-Dec-2018 15:25:43,,,,
31,phy,a6c3f50a-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 15:25:44,15-Dec-2018 15:26:08,,,,
32,phy,e7f897b0-a1da-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 15:33:01,15-Dec-2018 15:33:15,,,,
33,phy,e8042098-a1da-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 15:33:16,15-Dec-2018 15:33:21,,,,
34,phy,cd6b82dc-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 15:33:23,15-Dec-2018 15:33:42,,,,
35,phy,cd71698b-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 15:33:44,15-Dec-2018 15:33:55,,,,
36,phy,cdcaf272-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 15:33:58,15-Dec-2018 15:34:42,,,,
37,phy,cd54f6e1-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 15:34:44,15-Dec-2018 15:34:58,,,,
38,phy,cdc34e51-8310-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 15:35:01,15-Dec-2018 15:35:45,,,,
39,phy,358b3c65-a1db-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 15:42:29,15-Dec-2018 15:43:13,,,,
40,phy,35972165-a1db-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 15:43:14,15-Dec-2018 16:06:45,,,,
41,phy,ae0cbf8d-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 16:07:24,15-Dec-2018 16:09:45,,,,
42,phy,adc80476-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 16:13:22,15-Dec-2018 16:13:52,,,,
43,phy,af4a9f05-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 16:13:54,15-Dec-2018 16:14:58,,,,
44,phy,ae96608a-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 16:14:59,15-Dec-2018 16:16:02,,,,
45,phy,b8239e2e-a1ea-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 16:21:25,15-Dec-2018 16:21:36,,,,
46,phy,af5a838b-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 16:21:38,15-Dec-2018 16:24:03,,,,
47,phy,004b5a60-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 16:30:50,15-Dec-2018 16:31:04,,,,
48,phy,00527456-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 16:31:05,15-Dec-2018 16:31:14,,,,
49,phy,eea883bb-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 16:31:15,15-Dec-2018 16:31:41,,,,
50,phy,ee9b85ec-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 16:31:43,15-Dec-2018 16:32:02,,,,
51,phy,eef94b3e-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 16:32:04,15-Dec-2018 16:34:20,,,,
52,phy,e087eccf-a124-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 16:34:53,15-Dec-2018 16:35:55,,,,
53,phy,eeee0d83-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 16:35:57,15-Dec-2018 16:36:16,,,,
54,phy,eee8343e-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 16:36:18,15-Dec-2018 16:37:01,,,,
55,phy,d92bdce5-ba60-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 18:25:14,15-Dec-2018 18:25:35,,,,
56,phy,3ebc8275-99f4-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 18:25:46,15-Dec-2018 18:25:55,,,,
57,phy,3ed58648-99f4-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 18:27:39,15-Dec-2018 18:28:39,,,,
58,phy,0cd292ef-9dcb-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 18:28:40,15-Dec-2018 18:29:09,,,,
59,phy,f96e754a-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 18:29:10,15-Dec-2018 18:31:11,,,,
60,phy,f9671fa2-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 18:31:32,15-Dec-2018 18:32:00,,,,
61,phy,3eed9775-99f4-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 18:32:13,15-Dec-2018 18:33:20,,,,
62,phy,1568e314-af4a-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 18:44:21,15-Dec-2018 18:44:57,,,,
63,phy,15767047-af4a-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 18:44:58,15-Dec-2018 18:45:14,,,,
64,phy,0dd9192f-9dcb-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 18:45:16,15-Dec-2018 18:45:51,,,,
65,phy,fa515760-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 18:49:23,15-Dec-2018 18:50:34,,,,
66,phy,0dc7bede-9dcb-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 18:50:36,15-Dec-2018 18:50:50,,,,
67,phy,a1dd48ce-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 18:54:13,15-Dec-2018 18:54:58,,,,
68,phy,a2811051-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 18:55:09,15-Dec-2018 18:55:44,,,,
69,phy,a1fe10d1-97be-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 18:55:51,15-Dec-2018 18:56:29,,,,
70,phy,1fbcbfbc-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:01:14,15-Dec-2018 19:01:20,,,,
71,phy,1fc3d465-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:01:22,15-Dec-2018 19:01:31,,,,
72,phy,ef4d7067-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:01:33,15-Dec-2018 19:01:56,,,,
73,phy,ef7091a0-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:02:34,15-Dec-2018 19:02:50,,,,
74,phy,ef417279-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:02:52,15-Dec-2018 19:03:11,,,,
75,phy,ed286642-af42-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:03:34,15-Dec-2018 19:04:09,,,,
76,phy,ed333cce-af42-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:04:09,15-Dec-2018 19:04:25,,,,
77,phy,a6874cf1-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 19:04:26,15-Dec-2018 19:04:57,,,,
78,phy,a6ea528e-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 19:04:58,15-Dec-2018 19:08:34,,,,
79,phy,a6d31358-a369-11e7-bc9f-00163e1004d0,6840100808731180,196,15-Dec-2018 19:08:42,15-Dec-2018 19:08:58,,,,
80,phy,358b3c65-a1db-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:09:05,15-Dec-2018 19:09:26,,,,
81,phy,35972165-a1db-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:09:27,15-Dec-2018 19:09:41,,,,
82,phy,ae297be7-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 19:09:43,15-Dec-2018 19:10:07,,,,
83,phy,ae77a0a9-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 19:10:08,15-Dec-2018 19:10:19,,,,
84,phy,af699172-0a57-11e8-a91b-00163e02f9d2,6840100808731180,196,15-Dec-2018 19:10:20,15-Dec-2018 19:12:20,,,,
85,phy,004b5a60-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:12:26,15-Dec-2018 19:12:37,,,,
86,phy,00527456-a1dd-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:12:38,15-Dec-2018 19:12:44,,,,
87,phy,eee332a8-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:12:49,15-Dec-2018 19:14:46,,,,
88,phy,ef290cca-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:14:47,15-Dec-2018 19:15:20,,,,
89,phy,eeae40a9-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:15:21,15-Dec-2018 19:15:40,,,,
90,phy,195ecfb0-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:30:41,15-Dec-2018 19:30:52,,,,
91,phy,1966b08a-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:30:54,15-Dec-2018 19:33:24,,,,
92,phy,f7df3a09-91d9-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:33:25,15-Dec-2018 19:34:06,,,,
93,phy,196a0ef5-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:34:08,15-Dec-2018 19:35:26,,,,
94,phy,1970cba6-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:35:27,15-Dec-2018 19:35:53,,,,
95,phy,197796ac-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:35:54,15-Dec-2018 19:37:34,,,,
96,phy,19891c1c-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:37:43,15-Dec-2018 19:39:25,,,,
97,phy,1a535ea8-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:43:31,15-Dec-2018 19:43:43,,,,
98,phy,1a59ccea-8311-11e7-b802-00163e1004d0,6840100808731180,196,15-Dec-2018 19:43:44,15-Dec-2018 19:44:20,,,,
99,phy,cbc8f7d8-9486-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:44:34,15-Dec-2018 19:44:54,,,,
100,phy,cbd2ce7b-9486-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:45:01,15-Dec-2018 19:45:44,,,,
101,phy,cbda569c-9486-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:45:45,15-Dec-2018 19:46:06,,,,
102,phy,cbe1ff86-9486-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:46:09,15-Dec-2018 19:47:48,,,,
103,phy,cbe9993b-9486-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:47:50,15-Dec-2018 19:48:32,,,,
104,phy,cbf1290c-9486-11e8-8ce1-7cd30ae45aec,6840100808731180,196,15-Dec-2018 19:48:41,15-Dec-2018 19:49:10,,,,
105,phy,ed5ed85b-af43-11e8-8ce1-7cd30ae45aec,6880100813517920,196,08-Dec-2018 14:58:31,08-Dec-2018 14:59:09,,,,
106,phy,ed6ea91f-af43-11e8-8ce1-7cd30ae45aec,6880100813517920,196,08-Dec-2018 14:59:13,08-Dec-2018 15:00:42,,,,
107,phy,a04ae2aa-97be-11e7-b802-00163e1004d0,6880100813517920,196,08-Dec-2018 15:01:17,08-Dec-2018 15:02:53,,,,
108,phy,a03f7a7c-97be-11e7-b802-00163e1004d0,6880100813517920,196,08-Dec-2018 15:03:03,08-Dec-2018 15:03:58,,,,
109,phy,5eefaa3b-a1db-11e8-8ce1-7cd30ae45aec,6880100813517920,196,08-Dec-2018 15:04:12,08-Dec-2018 15:04:27,,,,
110,phy,5efac570-a1db-11e8-8ce1-7cd30ae45aec,6880100813517920,196,08-Dec-2018 15:04:30,08-Dec-2018 15:04:35,,,,
111,phy,f4e653ef-91d9-11e7-b802-00163e1004d0,6880100813517920,196,08-Dec-2018 15:04:37,08-Dec-2018 15:04:50,,,,
112,phy,f4f1f22b-91d9-11e7-b802-00163e1004d0,6880100813517920,196,08-Dec-2018 15:05:34,08-Dec-2018 15:05:56,,,,
113,phy,edc0a006-af44-11e8-8ce1-7cd30ae45aec,6880100813517920,196,08-Dec-2018 15:06:11,08-Dec-2018 15:06:50,,,,
114,phy,edc7df02-af44-11e8-8ce1-7cd30ae45aec,6880100813517920,196,08-Dec-2018 15:06:52,08-Dec-2018 15:07:08,,,,
115,phy,08a6b687-9dcb-11e7-bc9f-00163e1004d0,6880100813517920,196,08-Dec-2018 15:07:10,08-Dec-2018 15:07:42,,,,
116,phy,08701812-9dcb-11e7-bc9f-00163e1004d0,6880100813517920,196,08-Dec-2018 15:07:43,08-Dec-2018 15:08:02,,,,
